Company Name,Job Type,Location,Job Link
Crossover,"Data Research Analyst, gt.school (Remote) - $60,000/year USD","Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-research-analyst-gt-school-remote-%2460-000-year-usd-at-crossover-3801848499?refId=%2BpmCPFqeBRrxqPrWphKKsQ%3D%3D&trackingId=Z8FZh5V4Zridzcib72NwUQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
Crossover,"AI-Augmented Software Developer, Trilogy (Remote) - $200,000/year USD","Singapore, Singapore",https://sg.linkedin.com/jobs/view/ai-augmented-software-developer-trilogy-remote-%24200-000-year-usd-at-crossover-3801851908?refId=%2BpmCPFqeBRrxqPrWphKKsQ%3D%3D&trackingId=BFJ0y470EtMQpawmqR6QMw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
DAS Umbrella,Digital Growth Hacker,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/digital-growth-hacker-at-das-umbrella-3742439230?refId=%2BpmCPFqeBRrxqPrWphKKsQ%3D%3D&trackingId=KDYzlpSFsGN4a8h1Pnr%2BUw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
Autodesk,Distinguished Architect,Singapore,https://sg.linkedin.com/jobs/view/distinguished-architect-at-autodesk-3738824622?refId=%2BpmCPFqeBRrxqPrWphKKsQ%3D%3D&trackingId=s1POwLWeKWPPTDjjrUMcNw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
Cettire,Customer Service Manager,Singapore,https://sg.linkedin.com/jobs/view/customer-service-manager-at-cettire-3741875312?refId=%2BpmCPFqeBRrxqPrWphKKsQ%3D%3D&trackingId=yjp8FdiN%2FdalgLu8gGlbyA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
Varian,"Mgr, Business Operations APJI",Singapore,https://sg.linkedin.com/jobs/view/mgr-business-operations-apji-at-varian-3790531300?refId=%2BpmCPFqeBRrxqPrWphKKsQ%3D%3D&trackingId=Gcq%2Bg%2BFmWxH9XwhYa%2FZsQA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
SUPERHERO PRODUCTIONS,#NAME?,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/chief-operating-officer-coo-based-in-singapore-or-remote-at-international-people-solutions-b-v-3805014856?refId=%2BpmCPFqeBRrxqPrWphKKsQ%3D%3D&trackingId=rcDvUmRmlqP68rCUvHunsg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
VELTISTON GROUP,Interviewing Executive (Remote),"Singapore, Singapore",https://sg.linkedin.com/jobs/view/full-stack-engineer-trilogy-remote-%24100-000-year-usd-at-crossover-3801848410?refId=%2BpmCPFqeBRrxqPrWphKKsQ%3D%3D&trackingId=66BzvS8DPEDjEI20I3Hc%2Fg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
International People Solutions B.V.,Chief Operating Officer (COO) based in Singapore or REMOTE,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/outbound-engagement-advisor-at-isc2-3805059848?refId=%2BpmCPFqeBRrxqPrWphKKsQ%3D%3D&trackingId=TL%2Bl39NFpvnv77Bp01aDfQ%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
Crossover,"Full Stack Engineer, Trilogy (Remote) - $100,000/year USD","Singapore, Singapore",https://sg.linkedin.com/jobs/view/head-of-ai-driven-software-development-trilogy-remote-%24400-000-year-usd-at-crossover-3801848850?refId=%2BpmCPFqeBRrxqPrWphKKsQ%3D%3D&trackingId=%2FbSM7gMLq%2BzVBc1srguSTQ%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
